Datum;Tijd;Parameter;Locatie;Waarde;Eenheid;Windrichting;Windrichting eenheid;Bemonsteringshoogte;Referentievlak;
1-1-2022;15:00:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Nes;14;cm;183;graden;-999999999;NVT;
1-1-2022;15:10:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Nes;14;cm;182;graden;-999999999;NVT;
1-1-2022;15:20:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Nes;14;cm;180;graden;-999999999;NVT;
1-1-2022;15:30:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Nes;15;cm;182;graden;-999999999;NVT;
1-1-2022;15:40:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Nes;15;cm;181;graden;-999999999;NVT;
1-1-2022;15:50:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Nes;17;cm;183;graden;-999999999;NVT;
1-1-2022;16:00:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Nes;17;cm;179;graden;-999999999;NVT;
1-1-2022;16:10:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Nes;17;cm;181;graden;-999999999;NVT;
1-1-2022;16:20:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Nes;18;cm;180;graden;-999999999;NVT;
1-1-2022;16:30:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Nes;19;cm;177;graden;-999999999;NVT;
1-1-2022;16:40:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Nes;19;cm;175;graden;-999999999;NVT;
1-1-2022;16:50:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Nes;18;cm;177;graden;-999999999;NVT;
1-1-2022;17:00:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Nes;18;cm;175;graden;-999999999;NVT;
1-1-2022;17:10:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Nes;19;cm;179;graden;-999999999;NVT;
1-1-2022;17:20:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Nes;20;cm;178;graden;-999999999;NVT;
1-1-2022;17:30:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Nes;20;cm;180;graden;-999999999;NVT;
1-1-2022;17:40:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Nes;20;cm;181;graden;-999999999;NVT;
1-1-2022;17:50:00;Significante golfhoogte in het spectrale domein Oppervlaktewater golffrequentie tussen 30 en 500 mHz in cm;Nes;20;cm;182;graden;-999999999;NVT;
