Datum;Tijd;Parameter;Locatie;Waarde;Eenheid;Windrichting;Windrichting eenheid;Bemonsteringshoogte;Referentievlak;
1-1-2022;15:00:00;Temperatuur Oppervlaktewater oC;Nes;5,6;oC;183,3;graden;-999999999;NVT;
1-1-2022;15:10:00;Temperatuur Oppervlaktewater oC;Nes;5,7;oC;182,2;graden;-999999999;NVT;
1-1-2022;15:20:00;Temperatuur Oppervlaktewater oC;Nes;5,6;oC;179,7;graden;-999999999;NVT;
1-1-2022;15:30:00;Temperatuur Oppervlaktewater oC;Nes;5,6;oC;181,7;graden;-999999999;NVT;
1-1-2022;15:40:00;Temperatuur Oppervlaktewater oC;Nes;5,6;oC;180,6;graden;-999999999;NVT;
1-1-2022;15:50:00;Temperatuur Oppervlaktewater oC;Nes;5,6;oC;183,2;graden;-999999999;NVT;
1-1-2022;16:00:00;Temperatuur Oppervlaktewater oC;Nes;5,6;oC;179,3;graden;-999999999;NVT;
1-1-2022;16:10:00;Temperatuur Oppervlaktewater oC;Nes;5,6;oC;180,8;graden;-999999999;NVT;
1-1-2022;16:20:00;Temperatuur Oppervlaktewater oC;Nes;5,6;oC;179,9;graden;-999999999;NVT;
1-1-2022;16:30:00;Temperatuur Oppervlaktewater oC;Nes;5,6;oC;177,0;graden;-999999999;NVT;
1-1-2022;16:40:00;Temperatuur Oppervlaktewater oC;Nes;5,6;oC;174,5;graden;-999999999;NVT;
1-1-2022;16:50:00;Temperatuur Oppervlaktewater oC;Nes;5,6;oC;176,6;graden;-999999999;NVT;
1-1-2022;17:00:00;Temperatuur Oppervlaktewater oC;Nes;5,6;oC;174,6;graden;-999999999;NVT;
1-1-2022;17:10:00;Temperatuur Oppervlaktewater oC;Nes;5,6;oC;179,0;graden;-999999999;NVT;
1-1-2022;17:20:00;Temperatuur Oppervlaktewater oC;Nes;5,6;oC;177,8;graden;-999999999;NVT;
1-1-2022;17:30:00;Temperatuur Oppervlaktewater oC;Nes;5,6;oC;180,0;graden;-999999999;NVT;
1-1-2022;17:40:00;Temperatuur Oppervlaktewater oC;Nes;5,6;oC;180,7;graden;-999999999;NVT;
